<a target='_blank' href='http://windowsreallygoodedition.com/'>Windows</a>,1995,80.00%,
<a target='_blank' href='https://www.adobe.com/products/premiere.html'>Premier</a>,2001,50.00%
<a target='_blank' href='https://en.wikipedia.org/wiki/Microsoft_PowerPoint'>Powerpoint</a>,2001,80.00%
<a target='_blank' href='http://www.grassvalley.com/products/maincat-switchers'>Video Switchboards</a>,2001,10.00%
<a target='_blank' href='http://www.photoshop.com/'>Photoshop</a>,2001,80.00%
<a target='_blank' href='http://www.adobe.com/products/aftereffects.html'>After Effects</a>,2002,50.00%
<a target='_blank' href='http://www.blender.org/features/'>Blender</a>,2003,30.00%
<a target='_blank' href='https://www.lightwave3d.com/'>LightWave</a>,2003,55.00%
<a target='_blank' href='http://www.w3schools.com/html/default.asp'>HTML/CSS</a>,2003,70.00%
<a target='_blank' href='http://www.w3schools.com/js/default.asp'>Javascript</a>,2004,50.00%
<a target='_blank' href='https://www.adobe.com/products/flash.html'>Flash</a>,2004,30.00%
<a target='_blank' href='http://www.autodesk.com/products/autocad/overview'>AutoCAD</a>,2004,20.00%
<a target='_blank' href='https://en.wikipedia.org/wiki/X86_assembly_language'>x86 Assembly</a>,2005,15.00%
<a target='_blank' href='https://en.wikipedia.org/wiki/CCNA'>CCNA</a>,2005,35.00%
<a target='_blank' href='https://www.netacad.com/courses/it-essentials'>IT/Server Administration</a>,2005,75.00%
<a target='_blank' href='http://www.adobe.com/products/illustrator.html'>Illustrator</a>,2006,80.00%
<a target='_blank' href='https://en.wikipedia.org/wiki/C%2B%2B'>C++</a>,2006,20.00%
<a target='_blank' href='https://en.wikipedia.org/wiki/Visual_Basic_for_Applications'>VBA</a>,2006,20.00%
<a target='_blank' href='https://en.wikipedia.org/wiki/Microsoft_Excel'>Excel</a>,2006,40.00%
<a target='_blank' href='https://en.wikipedia.org/wiki/Microsoft_Access'>Access</a>,2006,40.00%
<a target='_blank' href='https://en.wikipedia.org/wiki/Bash_(Unix_shell)'>Linux/Bash</a>,2006,25.00%
<a target='_blank' href='http://www.avid.com/US/products/media-composer'>Avid Media Composer</a>,2007,30.00%
<a target='_blank' href='https://en.wikipedia.org/wiki/Adobe_Encore'>Encore</a>,2007,60.00%
<a target='_blank' href='http://www.avid.com/US/products/family/pro-tools'>Pro Tools</a>,2007,25.00%
